name,yearID,G,W,L,R,AB,H,2B,3B,HR,BB,SO,SB,ER,ERA,CG,E
Atlanta Braves,1985,162,66,96,632,5526,1359,213,28,126,553,849.0,72.0,678,4.19,9,159
Baltimore Orioles,1985,161,83,78,818,5517,1451,234,22,214,604,908.0,69.0,694,4.38,32,115
Boston Red Sox,1985,163,81,81,800,5720,1615,292,31,162,562,816.0,66.0,659,4.06,35,145
California Angels,1985,162,90,72,732,5442,1364,215,31,153,648,902.0,106.0,633,3.91,22,112
Chicago White Sox,1985,163,85,77,736,5470,1386,247,37,146,471,843.0,108.0,656,4.07,20,111
Chicago Cubs,1985,162,77,84,686,5492,1397,239,28,150,562,937.0,182.0,667,4.16,20,134
Cincinnati Reds,1985,162,89,72,677,5431,1385,249,34,114,576,856.0,159.0,598,3.71,24,121
Cleveland Indians,1985,162,60,102,729,5527,1465,254,31,116,492,817.0,132.0,775,4.91,24,141
Detroit Tigers,1985,161,84,77,729,5575,1413,254,45,202,526,926.0,75.0,612,3.78,31,141
Houston Astros,1985,162,83,79,706,5582,1457,261,42,121,477,873.0,96.0,593,3.66,17,152
Kansas City Royals,1985,162,91,71,687,5500,1384,261,49,154,473,840.0,128.0,567,3.49,27,127
Los Angeles Dodgers,1985,162,95,67,682,5502,1434,226,28,129,539,846.0,136.0,482,2.96,37,166
Minnesota Twins,1985,162,77,85,705,5509,1453,282,41,141,502,779.0,68.0,710,4.48,41,120
Milwaukee Brewers,1985,161,71,90,690,5568,1467,250,44,101,462,746.0,69.0,701,4.39,34,142
Montreal Expos,1985,161,84,77,633,5429,1342,242,49,118,492,880.0,169.0,575,3.55,13,121
New York Yankees,1985,161,97,64,839,5458,1458,272,31,176,620,771.0,155.0,590,3.69,25,123
New York Mets,1985,162,98,64,695,5549,1425,239,35,134,546,872.0,117.0,514,3.11,32,115
Oakland Athletics,1985,162,77,85,757,5581,1475,230,34,155,508,861.0,117.0,712,4.41,10,140
Philadelphia Phillies,1985,162,75,87,667,5477,1343,238,47,141,527,1095.0,122.0,592,3.68,24,139
Pittsburgh Pirates,1985,161,57,104,568,5436,1340,251,28,80,514,842.0,110.0,637,3.97,15,133
San Diego Padres,1985,162,83,79,650,5507,1405,241,28,109,513,809.0,60.0,548,3.4,26,124
Seattle Mariners,1985,162,74,88,719,5521,1410,277,38,171,564,942.0,94.0,745,4.68,23,122
San Francisco Giants,1985,162,62,100,556,5420,1263,217,31,115,488,962.0,99.0,581,3.61,13,144
St. Louis Cardinals,1985,162,101,61,747,5467,1446,245,59,87,586,853.0,314.0,504,3.1,37,108
Texas Rangers,1985,161,62,99,617,5361,1359,213,41,129,530,819.0,130.0,715,4.56,18,119
Toronto Blue Jays,1985,161,99,62,759,5508,1482,281,53,158,503,807.0,144.0,533,3.31,18,125
Atlanta Braves,1986,161,72,89,615,5384,1348,241,24,138,538,904.0,93.0,628,3.97,17,141
Baltimore Orioles,1986,162,73,89,708,5524,1425,223,13,169,563,862.0,64.0,686,4.3,17,135
Boston Red Sox,1986,161,95,66,794,5498,1488,320,21,144,595,707.0,41.0,624,3.93,36,129
California Angels,1986,162,92,70,786,5433,1387,236,36,167,671,860.0,109.0,621,3.84,29,107
Chicago White Sox,1986,162,72,90,644,5406,1335,197,34,121,487,940.0,115.0,630,3.93,18,117
Chicago Cubs,1986,160,70,90,680,5499,1409,258,27,155,508,966.0,132.0,721,4.49,11,124
Cincinnati Reds,1986,162,86,76,732,5536,1404,237,35,144,586,920.0,177.0,638,3.91,14,140
Cleveland Indians,1986,163,84,78,831,5702,1620,270,45,157,456,944.0,141.0,736,4.58,31,156
Detroit Tigers,1986,162,87,75,798,5512,1447,234,30,198,613,885.0,138.0,645,4.02,33,108
